name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
dhaka,01-05-19,36,28,31.7,39.8,31.3,36.1,22.8,61,1.5,100,20.83,rain,0,0,45.4,27.7,189.1,1005.8,43.1,4,246.5,21.3,8,,01-05-19 5:24,01-05-19 18:26,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"VGHS,41922099999"
dhaka,02-05-19,35,29,31.5,40.6,34.2,36.4,23.4,63.7,0.4,100,16.67,rain,0,0,32.8,22.3,181.6,1006.5,61,4,214.7,18.5,7,,02-05-19 5:24,02-05-19 18:27,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"VGHS,41922099999"
dhaka,03-05-19,32,25,28.3,42.4,25,33,24.8,81.4,28.8,100,70.83,rain,0,0,32.4,29.5,115.7,1006.7,82,3.9,107,9.1,4,,03-05-19 5:23,03-05-19 18:27,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VGHS,41922099999"
dhaka,04-05-19,28,24,25.4,33.6,24,25.8,23.5,89.7,27.4,100,75,rain,0,0,84.6,40.7,187.6,1001,92.6,3.2,64.8,5.6,3,,04-05-19 5:22,04-05-19 18:27,0.98,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"VGHS,41922099999"
dhaka,05-05-19,34,24,29.2,37.3,24,31.8,22.3,68.1,0,0,0,,0,0,28.4,22.3,195.7,1007.3,39.2,4,294.6,25.4,10,,05-05-19 5:22,05-05-19 18:28,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41922099999"
dhaka,06-05-19,35,27,30.6,40.6,30.1,35.2,23.5,67.1,0.5,100,4.17,rain,0,0,33.1,22.3,178.7,1005,42.7,4,275.5,23.8,9,,06-05-19 5:21,06-05-19 18:28,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VGHS,41922099999"
dhaka,07-05-19,35,28,30.8,40.6,31.9,35.9,23.9,67.8,0,0,0,,0,0,36,22.3,182.2,1003.9,46,4,286.7,24.9,9,,07-05-19 5:20,07-05-19 18:29,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41922099999"
dhaka,08-05-19,36,28,31,43.8,31.3,37,24.4,68.7,0.4,100,16.67,rain,0,0,36.7,22.3,180.6,1002.9,57.8,4,268.4,23.1,9,,08-05-19 5:20,08-05-19 18:29,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"VGHS,41922099999"
dhaka,09-05-19,35,28,31.1,46.7,31.9,38.3,25.4,72.1,0,0,0,,0,0,41,27.7,177.1,1001.9,57.3,4,276.4,23.8,9,,09-05-19 5:19,09-05-19 18:30,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41922099999"
dhaka,10-05-19,35,29,31.9,44.9,35.6,40.5,26.2,72.8,0.1,100,4.17,rain,0,0,46.1,35.3,182.4,1003.6,52.8,4,271.4,23.4,9,,10-05-19 5:19,10-05-19 18:30,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VGHS,41922099999"
dhaka,11-05-19,35,29,31.7,42,33.6,38.6,25,68.8,0.6,100,25,rain,0,0,37.8,27.7,187,1005.9,60.2,4,253.1,21.8,9,,11-05-19 5:18,11-05-19 18:31,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"VGHS,41922099999"
dhaka,12-05-19,35,27,31.3,40.7,29.6,36.9,24.1,67,0,0,0,,0,0,34.2,22.3,168.3,1005.8,48.5,4,239.8,20.7,8,,12-05-19 5:18,12-05-19 18:31,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41922099999"
dhaka,13-05-19,36,27,30.4,43.3,28.8,35.9,24.1,70.1,7.7,100,33.33,rain,0,0,37.8,31.7,157.9,1005.4,72.2,4,229.2,19.8,8,,13-05-19 5:17,13-05-19 18:32,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VGHS,remote,41922099999"
dhaka,14-05-19,33,23,28.5,40.6,23,31.8,23.2,74.5,15.7,100,45.83,rain,0,0,31.7,18.4,150.6,1005.8,62.4,3.9,199.8,17.3,7,,14-05-19 5:17,14-05-19 18:32,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VGHS,41922099999"
dhaka,15-05-19,35,27,30.7,42,30.1,35.8,24,68.7,27.1,100,79.17,rain,0,0,33.5,18.4,172.7,1006.6,50.1,4,195.4,16.7,9,,15-05-19 5:16,15-05-19 18:33,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VGHS,41922099999"
dhaka,16-05-19,35,26,30.2,40.6,26,34.4,23.4,68.1,7.4,100,50,rain,0,0,36.7,25.9,132,1006.9,49,4,187.9,16.3,7,,16-05-19 5:16,16-05-19 18:33,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VGHS,41922099999"
dhaka,17-05-19,35,23,29.5,48.8,23,35.3,24.8,76.9,7.9,100,45.83,rain,0,0,33.8,74.2,175.9,1005.5,64.6,3.8,233.6,20,8,,17-05-19 5:15,17-05-19 18:34,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VGHS,41922099999"
dhaka,18-05-19,35,24,28.8,45.3,24,33.4,23.8,74.8,0,0,0,,0,0,42.5,22.3,149.3,1005,59.8,4,241.6,20.9,8,,18-05-19 5:15,18-05-19 18:34,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41922099999"
dhaka,19-05-19,34,26,29,47.3,26,34,24.4,76.5,0.1,100,4.17,rain,0,0,29.9,33.5,115.8,1006.8,59.9,4,240.9,21,8,,19-05-19 5:14,19-05-19 18:35,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VGHS,41922099999"
dhaka,20-05-19,35,26,30,46.7,26,35.2,24.5,73,0.5,100,16.67,rain,0,0,23.4,40.7,109.8,1007.8,58.9,4,263.6,22.6,8,,20-05-19 5:14,20-05-19 18:35,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VGHS,41922099999"
dhaka,21-05-19,35,27,31,40.7,28.8,35.4,22.8,62.7,2.9,100,33.33,rain,0,0,28.1,22.3,166.3,1006.7,43.5,4,255.4,22,9,,21-05-19 5:14,21-05-19 18:36,0.58,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"VGHS,41922099999"
dhaka,22-05-19,35,25,30.6,43.3,25,36.3,24.4,70.2,3.2,100,33.33,rain,0,0,32.4,37.1,156.5,1006.1,48.2,4.1,239.6,20.7,8,,22-05-19 5:13,22-05-19 18:36,0.61,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999"
dhaka,23-05-19,33,23,28.1,39.3,23,31.2,23,75,8,100,62.5,rain,0,0,38.5,18.4,152.7,1006.5,70.2,3.9,206.3,17.8,7,,23-05-19 5:13,23-05-19 18:37,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999,41909099999"
