name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
delhi,01-05-19,41.4,26,34.3,42,26,34.3,14.5,32.3,0,0,0,,0,0,33.5,11.2,53.3,1000.4,27.1,2.9,309.4,26.8,10,,2019-05-01 5:40:51,2019-05-01 18:56:09,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
delhi,02-05-19,39.7,27.4,32.7,47.2,27.3,33.9,16.2,37.8,0,0,0,,0,0,43.6,21,52.4,1002.5,52.4,2.9,272.9,23.6,9,,2019-05-02 5:40:00,2019-05-02 18:56:45,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
delhi,03-05-19,38.9,24.2,30.6,42.2,24.2,31.5,16.8,44.8,4.448,100,4.17,rain,0,0,33.5,47.7,76.8,1004.9,44.3,3.6,282.8,24.5,9,,2019-05-03 5:39:11,2019-05-03 18:57:21,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
delhi,04-05-19,39,23.8,31.7,38,23.8,31,13,36.1,0,0,0,,0,0,37.1,21.6,288,1006.7,15.5,3.5,326.5,28.3,10,,2019-05-04 5:38:22,2019-05-04 18:57:57,0.98,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
delhi,05-05-19,39.2,21.6,32,39,21.6,31.2,10.5,28.5,0,0,0,,0,0,41.4,18,268.9,1007,7.1,3.3,330.1,28.5,10,,2019-05-05 5:37:35,2019-05-05 18:58:34,0,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
delhi,06-05-19,41,24.5,33.2,40.8,24.5,32.6,11.8,29.4,0,0,0,,0,0,43.2,21,261.3,1004.3,0,3,330.1,28.6,10,,2019-05-06 5:36:48,2019-05-06 18:59:10,0.05,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
delhi,07-05-19,41.2,23.8,33.3,43.5,23.8,33.3,12.9,31.4,0,0,0,,0,0,37.1,21,258.6,1002.9,10.1,2.6,318.7,27.5,10,,2019-05-07 5:36:03,2019-05-07 18:59:46,0.08,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
delhi,08-05-19,41.9,25.8,34.5,45.3,25.8,34.9,14.4,31.5,0,0,0,,0,0,37.1,22.7,260.3,1003,11.5,2.8,323,27.9,10,,2019-05-08 5:35:19,2019-05-08 19:00:23,0.12,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
delhi,09-05-19,41.8,29,35.2,46.6,27.7,35.5,14.1,29.4,0,0,0,,0,0,37.1,21.6,258.9,1002.2,5.7,2.9,327.1,28.2,10,,2019-05-09 5:34:36,2019-05-09 19:00:59,0.16,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
delhi,10-05-19,41.2,29.9,34.8,44.9,29.2,35.5,15.4,32.3,0.1,100,4.17,rain,0,0,46.8,20.5,258.4,1003,31,3.1,311.8,26.9,9,,2019-05-10 5:33:54,2019-05-10 19:01:36,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD,remote"
delhi,11-05-19,39.2,25,33,43.4,25,34.3,17.2,40.1,0,0,0,,0,0,34.6,15.6,281.5,1005.4,29.5,2.8,301,26.1,10,,2019-05-11 5:33:13,2019-05-11 19:02:12,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
delhi,12-05-19,38.4,27,32.7,42.2,27.1,34.1,17.3,41,0,0,0,,0,0,35,19.7,275.1,1005.3,32.2,2.2,314.6,27,10,,2019-05-12 5:32:33,2019-05-12 19:02:49,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
delhi,13-05-19,40,25,31.7,46.6,25,33.7,18.2,46,3.896,100,8.33,rain,0,0,39.5,26.1,264.2,1003.8,31,2.2,303.4,26.1,9,,2019-05-13 5:31:55,2019-05-13 19:03:25,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
delhi,14-05-19,35.1,24,30,38.5,24,31.3,18.7,52.5,0,0,0,,0,0,34.6,14.2,292.5,1005,32.8,3.3,290.3,25.1,10,,2019-05-14 5:31:17,2019-05-14 19:04:01,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
delhi,15-05-19,35,23,29.2,41.1,23,31.2,19.9,59.1,1.747,100,8.33,rain,0,0,46.4,17.7,44.1,1006.2,44.3,2.8,297,25.9,9,,2019-05-15 5:30:41,2019-05-15 19:04:37,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
delhi,16-05-19,36.2,25.2,30.4,40.6,25.2,31.9,19.5,54.2,0,0,0,,0,0,33.5,33.2,287.5,1006.9,40.7,3.5,297.3,25.8,9,,2019-05-16 5:30:07,2019-05-16 19:05:13,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD,remote"
delhi,17-05-19,36.8,21,28.3,42.1,21,29.9,19.8,62.3,12.344,100,8.33,rain,0,0,55.4,16.6,300.1,1006.4,49.1,3,252.2,21.8,9,,2019-05-17 5:29:33,2019-05-17 19:05:49,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
delhi,18-05-19,32.8,21,27,36,21,28.1,19.2,64.5,0,0,0,,0,0,55.4,20.8,281.4,1006.9,32.2,3.2,279.5,23.9,8,,2019-05-18 5:29:01,2019-05-18 19:06:25,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
delhi,19-05-19,37.2,24.3,31.2,36.8,24.3,31.1,16.3,44.4,0,0,0,,0,0,35.3,17.2,270.5,1006.9,4,3,311.5,26.8,10,,2019-05-19 5:28:30,2019-05-19 19:07:01,0.5,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
